;;Time;Quality;Transformation;Checks
Attributes;Dataset;Value;Value;Value;Value
1;Adult;15.0;0.9997679199;[0];1.0
1;Adult;20.0;0.9997679199;[0];2.0
2;Adult;4.0;0.9795769512000001;[0, 0];1.0
2;Adult;6.0;0.9795769512000001;[0, 0];5.0
3;Adult;9.0;0.9589917129013221;[1, 0, 0];2.0
3;Adult;18.0;0.9589917129013221;[1, 0, 0];10.0
4;Adult;16.0;0.8801818030123745;[2, 0, 0, 1];13.0
4;Adult;34.0;0.8801818030123745;[2, 0, 0, 1];51.0
5;Adult;31.0;0.869744724488194;[3, 0, 0, 0, 1];21.0
5;Adult;64.0;0.869744724488194;[3, 0, 0, 0, 1];105.0
6;Adult;41.0;0.8078017734709131;[4, 0, 0, 1, 0, 0];26.0
6;Adult;42.0;0.8306176734831736;[3, 0, 1, 1, 0, 0];28.0
6;Adult;43.0;0.8676754463256775;[3, 0, 0, 1, 1, 0];30.0
6;Adult;45.0;0.8699319038417452;[2, 0, 0, 1, 1, 0];35.0
6;Adult;102.0;0.8699319038417452;[2, 0, 0, 1, 1, 0];183.0
7;Adult;52.0;0.8674315517457727;[0, 3, 0, 0, 1, 1, 0];35.0
7;Adult;188.0;0.8674315517457727;[0, 3, 0, 0, 1, 1, 0];299.0
8;Adult;76.0;0.7950351696181266;[0, 4, 0, 0, 2, 1, 0, 0];51.0
8;Adult;76.0;0.8136329632937473;[0, 3, 0, 1, 2, 1, 0, 0];53.0
8;Adult;77.0;0.8288350057809766;[0, 3, 0, 0, 2, 1, 1, 0];56.0
8;Adult;769.0;0.8288350057809766;[0, 3, 0, 0, 2, 1, 1, 0];1062.0
9;Adult;142.0;0.7461556957002213;[0, 4, 0, 0, 2, 1, 1, 1, 0];75.0
9;Adult;145.0;0.7570844289429579;[0, 3, 0, 0, 2, 1, 1, 2, 0];81.0
9;Adult;5478.0;0.7570844289429579;[0, 3, 0, 0, 2, 1, 1, 2, 0];5319.0
1;Cup;1.0;0.9994483063999999;[0];1.0
1;Cup;1.0;0.9994483063999999;[0];2.0
2;Cup;1.0;0.9972257688999999;[0, 0];1.0
2;Cup;1.0;0.9972257688999999;[0, 0];3.0
3;Cup;2.0;0.9822354629000003;[0, 0, 0];1.0
3;Cup;2.0;0.9826641704214456;[1, 0, 0];2.0
3;Cup;3.0;0.9826641704214456;[1, 0, 0];7.0
4;Cup;6.0;0.9312648500638581;[0, 0, 0, 1];5.0
4;Cup;6.0;0.9339244306595855;[1, 0, 0, 1];6.0
4;Cup;7.0;0.9406215210080544;[2, 0, 0, 0];14.0
4;Cup;8.0;0.9406215210080544;[2, 0, 0, 0];23.0
5;Cup;37.0;0.9015479829188779;[0, 0, 0, 1, 1];11.0
5;Cup;37.0;0.9218406352334123;[1, 0, 0, 1, 1];12.0
5;Cup;98.0;0.9218406352334123;[1, 0, 0, 1, 1];88.0
6;Cup;72.0;0.786175474622375;[0, 0, 0, 1, 1, 1];17.0
6;Cup;72.0;0.8048911415484874;[1, 0, 0, 1, 1, 1];18.0
6;Cup;191.0;0.8339054125523087;[2, 0, 1, 0, 1, 1];112.0
6;Cup;194.0;0.8723318416408845;[3, 0, 0, 0, 2, 1];115.0
6;Cup;692.0;0.8723318416408845;[3, 0, 0, 0, 2, 1];284.0
7;Cup;634.0;0.7583017851866245;[4, 2, 0, 1, 0, 1, 4];101.0
7;Cup;638.0;0.7588253328842811;[3, 2, 0, 1, 0, 2, 4];106.0
7;Cup;682.0;0.7935946057595757;[4, 3, 0, 0, 0, 2, 4];182.0
7;Cup;1608.0;0.8377461153526049;[4, 2, 0, 1, 0, 1, 1];396.0
7;Cup;1611.0;0.8381159145581583;[3, 2, 0, 1, 0, 2, 1];401.0
7;Cup;1612.0;0.8398089017266799;[4, 2, 0, 1, 0, 2, 1];403.0
7;Cup;1687.0;0.8712033847775258;[4, 3, 0, 0, 0, 2, 1];539.0
7;Cup;8360.0;0.8712033847775258;[4, 3, 0, 0, 0, 2, 1];1736.0
8;Cup;1111.0;0.6810696857146379;[4, 1, 0, 1, 0, 1, 4, 4];155.0
8;Cup;1112.0;0.6871117107225715;[3, 2, 0, 1, 0, 1, 4, 4];156.0
8;Cup;1131.0;0.7187067662342752;[4, 3, 0, 0, 0, 1, 4, 4];195.0
8;Cup;1958.0;0.7610992211984418;[4, 2, 0, 1, 0, 1, 1, 4];354.0
8;Cup;1963.0;0.7614330519214356;[3, 2, 0, 1, 0, 1, 2, 4];360.0
8;Cup;1963.0;0.7630377176476306;[4, 2, 0, 1, 0, 1, 2, 4];361.0
8;Cup;4129.0;0.7921915996344562;[4, 3, 0, 0, 0, 1, 2, 4];849.0
8;Cup;7428.0;0.8006080261877075;[4, 3, 0, 0, 0, 1, 2, 3];1507.0
8;Cup;13789.0;0.8306144172876453;[4, 2, 0, 1, 0, 1, 1, 1];2580.0
8;Cup;13793.0;0.8308129279609644;[3, 2, 0, 1, 0, 1, 2, 1];2586.0
8;Cup;13795.0;0.8338550092611801;[4, 2, 0, 1, 0, 1, 2, 1];2588.0
8;Cup;17954.0;0.8603106390825048;[4, 3, 0, 0, 0, 1, 2, 1];3424.0
8;Cup;41516.0;0.8603106390825048;[4, 3, 0, 0, 0, 1, 2, 1];6911.0
1;Fars;1.0;1.0;[0];1.0
1;Fars;1.0;1.0;[0];1.0
2;Fars;2.0;0.9843565789000002;[0, 0];1.0
2;Fars;3.0;0.9843565789000002;[0, 0];3.0
3;Fars;14.0;0.8922950985769103;[0, 0, 1];4.0
3;Fars;15.0;0.9520693164893594;[2, 0, 0];5.0
3;Fars;16.0;0.9520693164893594;[2, 0, 0];10.0
4;Fars;22.0;0.8989329041455252;[1, 0, 1, 0];6.0
4;Fars;25.0;0.9029144224083259;[2, 0, 1, 0];10.0
