;;;;;PutProperty;HasProperty;Antichain;Hitrate
Attributes;Utility;Privacy;Nodes;Property;Value;Value;Value;Value
3;Loss;k-anonymity;96;Checked;12.0;12.0;0.0;0.0
3;Loss;k-anonymity;96;Insufficient utility;4.0;23.0;0.75;0.17391304347826086
4;Loss;k-anonymity;480;Checked;50.0;57.0;0.0;0.12280701754385964
4;Loss;k-anonymity;480;Insufficient utility;18.0;115.0;0.5555555555555556;0.20869565217391303
5;Loss;k-anonymity;1440;Checked;89.0;95.0;0.0;0.06315789473684211
5;Loss;k-anonymity;1440;Insufficient utility;34.0;197.0;0.4411764705882353;0.22842639593908629
6;Loss;k-anonymity;4320;Checked;177.0;198.0;0.0;0.10606060606060606
6;Loss;k-anonymity;4320;Insufficient utility;61.0;398.0;0.36065573770491804;0.25125628140703515
7;Loss;k-anonymity;12960;Checked;449.0;543.0;0.0;0.1731123388581952
7;Loss;k-anonymity;12960;Insufficient utility;157.0;1112.0;0.3184713375796178;0.2805755395683453
8;Loss;k-anonymity;38880;Checked;820.0;1013.0;0.0;0.19052319842053306
8;Loss;k-anonymity;38880;Insufficient utility;284.0;2091.0;0.24647887323943662;0.2998565279770445
9;Loss;k-anonymity;116640;Checked;3872.0;5624.0;0.0;0.31152204836415365
9;Loss;k-anonymity;116640;Insufficient utility;1187.0;11807.0;0.22156697556866048;0.3425933768103667
10;Loss;k-anonymity;466560;Checked;15858.0;26390.0;0.0;0.399090564607806
10;Loss;k-anonymity;466560;Insufficient utility;4486.0;55840.0;0.22781988408381632;0.36803366762177653
11;Loss;k-anonymity;1399680;Checked;32507.0;59509.0;0.0;0.4537464921272413
11;Loss;k-anonymity;1399680;Insufficient utility;10119.0;126429.0;0.204269196560925;0.37698629270183265
12;Loss;k-anonymity;4199040;Checked;76679.0;161570.0;0.0;0.525413133626292
12;Loss;k-anonymity;4199040;Insufficient utility;25211.0;339857.0;0.1883701558843362;0.38358486069140846
13;Loss;k-anonymity;12597120;Checked;265762.0;693700.0;0.0;0.6168920282542886
13;Loss;k-anonymity;12597120;Insufficient utility;85303.0;1419235.0;0.1959251140053691;0.38744393986901393
14;Loss;k-anonymity;37791360;Checked;626383.0;1828566.0;0.0;0.6574457799171591
14;Loss;k-anonymity;37791360;Insufficient utility;199747.0;3690790.0;0.20750749698368437;0.39146497091408616
15;Loss;k-anonymity;113374080;Checked;1634751.0;5227197.0;0.0;0.6872604954433513
15;Loss;k-anonymity;113374080;Insufficient utility;514863.0;1.0411829E7;0.20172162303370023;0.3931497530357058
